year,reform_leg,income_definition,ranking,taxes_included,corp_convention,group_dimension,group,n_tax_units,income_cutoff,income_baseline,income_reform,tax_baseline,tax_reform,etr_baseline,etr_reform,etr_income_tax_baseline,etr_income_tax_reform,etr_payroll_baseline,etr_payroll_reform,etr_estate_baseline,etr_estate_reform,etr_deemed_baseline,etr_deemed_reform,etr_wealth_baseline,etr_wealth_reform,etr_corp_baseline,etr_corp_reform,etr_vat_baseline,etr_vat_reform,etr_other_baseline,etr_other_reform
2027,static,agi,wealth,wealth_cit_vat,capital_income,Net worth,Top 0.1%,188602.9436090703,74859276,1309.6624006711381,1309.6624006711381,425.9215870835017,550.5251132215775,0.32521479341946263,0.4203565078599341,0.26625694273416484,0.36139865717463643,0.009156404749707388,0.009156404749707388,6.70569370473947e-5,6.70569370473947e-5,0,0,0,0,0.049734388998542996,0.049734388998542996,0,0,0,0
2027,static,agi,wealth,wealth_cit_vat,uniform_networth,Net worth,Top 0.1%,188602.9436090703,74859276,1309.6624006711381,1309.6624006711381,398.5475991522735,523.1511252903493,0.3043132328973003,0.39945494733777187,0.26625694273416484,0.36139865717463643,0.009156404749707388,0.009156404749707388,6.70569370473947e-5,6.70569370473947e-5,0,0,0,0,0.028832828476380676,0.028832828476380676,0,0,0,0
2027,static,agi,wealth,other,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,1309.6624006711381,1309.6624006711381,116.88626211565578,116.88626211565578,0.08924915463386386,0.08924915463386386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08924915463386386,0.08924915463386386
2027,static,expanded,wealth,iit,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,1386.5696490287387,1386.5696490287387,348.70670681658413,473.31023295465997,0.25148877812293485,0.34135337758633566,0.25148877812293485,0.34135337758633566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,expanded,wealth,iit_pr,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,1386.5696490287387,1386.5696490287387,360.69850584260246,485.30203198067835,0.26013731520465905,0.35000191466805985,0.25148877812293485,0.34135337758633566,0.008648537081724224,0.008648537081724224,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,expanded,wealth,death,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,1391.914953154063,1391.914953154063,360.78632779175763,485.3898539298335,0.25920141670597047,0.34872091346525574,0.2505229978501336,0.3400424946094189,0.008615324520255433,0.008615324520255433,6.30943355814526e-5,6.30943355814526e-5,0,0,0,0,0,0,0,0,0,0
2027,static,expanded,wealth,wealth_cit_vat,equity_supernormal,Net worth,Top 0.1%,188602.9436090703,74859276,1435.2329613739353,1435.2329613739353,404.1043360116298,528.7078621497056,0.2815600999190992,0.36837773126641304,0.2429617464211318,0.3297793777684456,0.008355297954235076,0.008355297954235076,6.119003083030729e-5,6.119003083030729e-5,0,0,0,0,0.03018186551290202,0.03018186551290202,0,0,0,0
2027,static,expanded,wealth,wealth_cit_vat,capital_income,Net worth,Top 0.1%,188602.9436090703,74859276,1457.0502124458071,1457.0502124458071,425.9215870835017,550.5251132215775,0.2923177138614523,0.3778353748684234,0.23932374041608656,0.32484140142305773,0.008230189271163781,0.008230189271163781,6.027379729606315e-5,6.027379729606315e-5,0,0,0,0,0.04470351037690588,0.04470351037690588,0,0,0,0
2027,static,expanded,wealth,wealth_cit_vat,uniform_networth,Net worth,Top 0.1%,188602.9436090703,74859276,1429.676224514579,1429.676224514579,398.5475991522735,523.1511252903493,0.2787677323847176,0.3659227986867978,0.24390606826729685,0.3310611345693771,0.008387772574234417,0.008387772574234417,6.142785873421285e-5,6.142785873421285e-5,0,0,0,0,0.02641246368445208,0.02641246368445208,0,0,0,0
2027,static,expanded,wealth,other,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,1386.5696490287387,1386.5696490287387,116.88626211565578,116.88626211565578,0.08429887542795417,0.08429887542795417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08429887542795417,0.08429887542795417
2027,static,hs,wealth,iit,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,3223.488758007138,3223.488758007138,348.70670681658413,473.31023295465997,0.10817680252502743,0.14683166856994878,0.10817680252502743,0.14683166856994878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,hs,wealth,iit_pr,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,3223.488758007138,3223.488758007138,360.69850584260246,485.30203198067835,0.11189693308116191,0.15055179912608327,0.10817680252502743,0.14683166856994878,0.003720130556134496,0.003720130556134496,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,hs,wealth,death,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,3228.8340621324623,3228.8340621324623,360.78632779175763,485.3898539298335,0.1117388880472472,0.15032976132854003,0.10799771685581236,0.14658859013710518,0.00371397191532924,0.00371397191532924,2.71992761056116e-5,2.71992761056116e-5,0,0,0,0,0,0,0,0,0,0
2027,static,hs,wealth,wealth_cit_vat,equity_supernormal,Net worth,Top 0.1%,188602.9436090703,74859276,3272.1520703523342,3272.1520703523342,404.1043360116298,528.7078621497056,0.12349803044701319,0.16157802289817666,0.1065680015229355,0.14464799397409897,0.003664804925990849,0.003664804925990849,2.6839201622340234e-5,2.6839201622340234e-5,0,0,0,0,0.01323838479646451,0.01323838479646451,0,0,0,0
2027,static,hs,wealth,wealth_cit_vat,capital_income,Net worth,Top 0.1%,188602.9436090703,74859276,3293.9693214242066,3293.9693214242066,425.9215870835017,550.5251132215775,0.1293034468515775,0.16713122057358692,0.10586215984118957,0.143689933563199,0.0036405314852275316,0.0036405314852275316,2.6661435060716637e-5,2.6661435060716637e-5,0,0,0,0,0.019774094090099684,0.019774094090099684,0,0,0,0
2027,static,hs,wealth,wealth_cit_vat,uniform_networth,Net worth,Top 0.1%,188602.9436090703,74859276,3266.5953334929786,3266.5953334929786,398.5475991522735,523.1511252903493,0.12200703131664171,0.16015180084487005,0.10674928211683667,0.144894051645065,0.003671039048842187,0.003671039048842187,2.6884857225714612e-5,2.6884857225714612e-5,0,0,0,0,0.011559825293737148,0.011559825293737148,0,0,0,0
2027,static,hs,wealth,other,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,3223.488758007138,3223.488758007138,116.88626211565578,116.88626211565578,0.03626079409314228,0.03626079409314228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03626079409314228,0.03626079409314228
2027,static,hs_ex_home,wealth,iit,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,3180.1747921615,3180.1747921615,348.70670681658413,473.31023295465997,0.10965017007117878,0.14883151521145183,0.10965017007117878,0.14883151521145183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,hs_ex_home,wealth,iit_pr,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,3180.1747921615,3180.1747921615,360.69850584260246,485.30203198067835,0.11342096878814735,0.1526023139284204,0.10965017007117878,0.14883151521145183,0.0037707987169685758,0.0037707987169685758,0,0,0,0,0,0,0,0,0,0,0,0
