state,ssa_age_band,hi_persons_total,universe
PA,62–64,336706,covered_worker_hi
PA,65–69,355984,covered_worker_hi
PA,70 or older,267243,covered_worker_hi
RI,Under 20,39984,covered_worker_hi
RI,20–29,122095,covered_worker_hi
RI,30–39,126277,covered_worker_hi
RI,40–49,107917,covered_worker_hi
RI,50–59,114547,covered_worker_hi
RI,60–61,23358,covered_worker_hi
RI,62–64,34170,covered_worker_hi
RI,65–69,32232,covered_worker_hi
RI,70 or older,26826,covered_worker_hi
SC,Under 20,184520,covered_worker_hi
SC,20–29,578244,covered_worker_hi
SC,30–39,585996,covered_worker_hi
SC,40–49,533058,covered_worker_hi
SC,50–59,515616,covered_worker_hi
SC,60–61,96493,covered_worker_hi
SC,62–64,115567,covered_worker_hi
SC,65–69,126175,covered_worker_hi
SC,70 or older,107305,covered_worker_hi
SD,Under 20,54571,covered_worker_hi
SD,20–29,115771,covered_worker_hi
SD,30–39,118423,covered_worker_hi
SD,40–49,100369,covered_worker_hi
SD,50–59,98329,covered_worker_hi
SD,60–61,22542,covered_worker_hi
SD,62–64,28152,covered_worker_hi
SD,65–69,28764,covered_worker_hi
SD,70 or older,29376,covered_worker_hi
TN,Under 20,244599,covered_worker_hi
TN,20–29,828759,covered_worker_hi
TN,30–39,813663,covered_worker_hi
TN,40–49,713804,covered_worker_hi
TN,50–59,697586,covered_worker_hi
TN,60–61,119851,covered_worker_hi
TN,62–64,152696,covered_worker_hi
TN,65–69,159428,covered_worker_hi
TN,70 or older,135355,covered_worker_hi
TX,Under 20,996551,covered_worker_hi
TX,20–29,3656230,covered_worker_hi
TX,30–39,3574425,covered_worker_hi
TX,40–49,3110524,covered_worker_hi
TX,50–59,2636627,covered_worker_hi
TX,60–61,464309,covered_worker_hi
TX,62–64,582630,covered_worker_hi
TX,65–69,626695,covered_worker_hi
TX,70 or older,457883,covered_worker_hi
UT,Under 20,190232,covered_worker_hi
UT,20–29,486137,covered_worker_hi
UT,30–39,405352,covered_worker_hi
UT,40–49,381994,covered_worker_hi
UT,50–59,253983,covered_worker_hi
UT,60–61,41310,covered_worker_hi
UT,62–64,57733,covered_worker_hi
UT,65–69,64771,covered_worker_hi
UT,70 or older,43758,covered_worker_hi
VA,Under 20,272343,covered_worker_hi
VA,20–29,988085,covered_worker_hi
VA,30–39,1035719,covered_worker_hi
VA,40–49,926782,covered_worker_hi
VA,50–59,881086,covered_worker_hi
VA,60–61,165140,covered_worker_hi
VA,62–64,212876,covered_worker_hi
VA,65–69,220322,covered_worker_hi
VA,70 or older,176258,covered_worker_hi
VT,Under 20,23358,covered_worker_hi
VT,20–29,66505,covered_worker_hi
VT,30–39,80683,covered_worker_hi
VT,40–49,64567,covered_worker_hi
VT,50–59,69259,covered_worker_hi
VT,60–61,15300,covered_worker_hi
VT,62–64,19074,covered_worker_hi
VT,65–69,21114,covered_worker_hi
VT,70 or older,21930,covered_worker_hi
WA,Under 20,219608,covered_worker_hi
WA,20–29,886696,covered_worker_hi
WA,30–39,1010627,covered_worker_hi
WA,40–49,827433,covered_worker_hi
WA,50–59,732062,covered_worker_hi
WA,60–61,130153,covered_worker_hi
WA,62–64,166364,covered_worker_hi
WA,65–69,177584,covered_worker_hi
WA,70 or older,119239,covered_worker_hi
WI,Under 20,269997,covered_worker_hi
WI,20–29,663109,covered_worker_hi
WI,30–39,694016,covered_worker_hi
WI,40–49,608233,covered_worker_hi
WI,50–59,620677,covered_worker_hi
WI,60–61,125665,covered_worker_hi
WI,62–64,157082,covered_worker_hi
WI,65–69,146372,covered_worker_hi
WI,70 or older,107815,covered_worker_hi
WV,Under 20,49165,covered_worker_hi
WV,20–29,168608,covered_worker_hi
WV,30–39,167894,covered_worker_hi
WV,40–49,170954,covered_worker_hi
WV,50–59,165140,covered_worker_hi
WV,60–61,28152,covered_worker_hi
WV,62–64,36924,covered_worker_hi
WV,65–69,37944,covered_worker_hi
WV,70 or older,31110,covered_worker_hi
WY,Under 20,35904,covered_worker_hi
WY,20–29,69667,covered_worker_hi
WY,30–39,76093,covered_worker_hi
WY,40–49,68137,covered_worker_hi
WY,50–59,59365,covered_worker_hi
WY,60–61,13974,covered_worker_hi
WY,62–64,16932,covered_worker_hi
WY,65–69,14178,covered_worker_hi
WY,70 or older,13974,covered_worker_hi
