year,cell,wage_lower,wage_upper,n_workers,n_workers_mtr,avg_wages,total_wages,avg_mtr_iit,avg_mtr_iit_wtd
2031,$200k-$220k,2e+05,220000,2902650.85105155,2902650.85105155,209763.963449954,608871547027.957,0.241386865812408,0.241413774797104
2031,$220k-$240k,220000,240000,1931384.58410184,1931384.58410184,229520.183174117,443291743522.72,0.244713406508833,0.244795655405967
2031,$240k-$260k,240000,260000,1420599.21020654,1420599.21020654,249081.281308075,353844671503.485,0.263722158482675,0.263855098768986
2031,$260k-$280k,260000,280000,1074099.35662904,1074099.35662904,269154.083650522,289098228083.104,0.281048660718581,0.281040669447588
2031,$280k-$300k,280000,3e+05,910246.878783506,910246.878783506,289325.190493422,263357351600.08,0.28386046331387,0.283792674318745
2031,$300k-$320k,3e+05,320000,555603.869480115,555603.869480115,310119.895977344,172303814207.783,0.292170828387579,0.29219352690985
2031,$320k-$340k,320000,340000,581132.450847694,581132.450847694,329334.095809705,191386730245.603,0.291040544393551,0.291089220682628
2031,$340k-$360k,340000,360000,335436.770512796,335436.770512796,349894.590816531,117367511563.393,0.282892526126268,0.282891457665022
2031,$360k-$380k,360000,380000,280066.426090072,280066.426090072,370322.908908728,103715013597.347,0.27703787822889,0.277003812190365
2031,$380k-$400k,380000,4e+05,302380.780742184,302380.780742184,389939.917901329,117910336817.547,0.269920299695232,0.269919551906147
2031,$400k-$420k,4e+05,420000,215054.84647425,215054.84647425,409562.579625718,88078417683.0065,0.276723207230394,0.276754935735939
2031,$420k-$440k,420000,440000,201290.192534175,201290.192534175,429426.645302348,86439372112.2145,0.278077246923756,0.278054660854135
2031,$440k-$460k,440000,460000,176421.360065484,176421.360065484,449768.021204021,79348686014.7748,0.285280820292857,0.285268204801546
2031,$460k-$480k,460000,480000,178785.627706601,178785.627706601,470384.056932506,84097908881.8559,0.304201408111446,0.304215375018624
2031,$480k-$500k,480000,5e+05,153363.108371489,153363.108371489,489714.850073236,75104191622.9094,0.306254815462769,0.306344423576625
2031,$500k-$550k,5e+05,550000,296846.697987397,296846.697987397,524307.992840447,155639096403.086,0.327775261924456,0.327848294148641
2031,$550k-$600k,550000,6e+05,242549.825417461,242549.825417461,574835.036187437,139426137671.103,0.335820910858322,0.335903176853613
2031,$600k-$650k,6e+05,650000,188211.412269813,188211.412269813,624130.761080801,117468531984.051,0.348960490845962,0.348981058397239
2031,$650k-$700k,650000,7e+05,180465.720599841,180465.720599841,674050.212285034,121642957280.494,0.349002333848563,0.348982527851729
2031,$700k-$750k,7e+05,750000,101915.607496639,101915.607496639,724962.39830941,73884983235.9241,0.358320071281376,0.358384765597605
2031,$750k-$800k,750000,8e+05,92172.7973795133,92172.7973795133,774675.781591058,71404033851.4087,0.360695970350313,0.360695970614596
2031,$800k-$850k,8e+05,850000,89325.2884401098,89325.2884401098,825000.725910022,73693427805.2127,0.359623195751201,0.359675418176935
2031,$850k-$900k,850000,9e+05,94028.5161151054,94028.5161151054,874512.195328942,82229084051.3436,0.360565341558476,0.360518746505479
2031,$900k-$950k,9e+05,950000,71040.530636644,71040.530636644,923162.160649012,65581929756.1767,0.367011869149994,0.367042731096862
2031,$950k-$1000k,950000,1e+06,54275.8978902583,54275.8978902583,974173.690665206,52874151761.9208,0.368819027625744,0.368802099192034
2031,$1M+,1e+06,Inf,443716.682125458,443716.682125458,2391855.90149666,1061306364734.29,0.365831434891101,0.365944177648019
2031,All workers,0,Inf,164382078.486504,164382078.486504,87348.4069926423,14358512693935.6,0.145627999364262,0.224784268004677
2032,$0k-$20k,0,20000,30231369.7741349,30231369.7741349,9021.02806396926,272718035144.703,0.015255505647002,0.0274927162592074
2032,$20k-$40k,20000,40000,25179302.0802005,25179302.0802005,28405.1840845839,715222710709.442,0.107541413362492,0.113067014671949
2032,$40k-$60k,40000,60000,25770711.6295907,25770711.6295907,50596.3837158992,1303904814242.56,0.156047614756491,0.156155128364421
2032,$60k-$80k,60000,80000,23551360.3273319,23551360.3273319,69522.3716443718,1637346425407.28,0.153379251334036,0.154352371027906
2032,$80k-$100k,80000,1e+05,15716171.7972003,15716171.7972003,89076.2413299903,1399937511791,0.196894455074299,0.196717824518676
2032,$100k-$120k,1e+05,120000,10681570.9681872,10681570.9681872,109402.066454598,1168585936901.11,0.199969618650168,0.199989185301288
2032,$120k-$140k,120000,140000,7714195.55015398,7714195.55015398,129342.516778098,997773467375.319,0.205284966374274,0.20535309782038
2032,$140k-$160k,140000,160000,5729308.75579451,5729308.75579451,149406.096010286,855993654040.808,0.221039203039012,0.221357981825577
2032,$160k-$180k,160000,180000,3365383.78421235,3365383.78421235,168504.066281681,567080852238.212,0.29338117611194,0.294965366032642
2032,$180k-$200k,180000,2e+05,2565761.70360462,2565761.70360462,191151.820692698,490450021107.623,0.241566348895869,0.241591155577598
2032,$200k-$220k,2e+05,220000,2862841.46900075,2862841.46900075,209878.440430778,600848702714.436,0.248336924740355,0.247997579748889
2032,$220k-$240k,220000,240000,2267867.37634209,2267867.37634209,228895.725192822,519105147748.966,0.244116225329701,0.244110804304124
2032,$240k-$260k,240000,260000,1614394.36784228,1614394.36784228,249371.966155206,402584697658.72,0.260863247652437,0.261017207353053
2032,$260k-$280k,260000,280000,1199120.62694523,1199120.62694523,269762.492069498,323477768616.685,0.277729455881186,0.277878321122828
2032,$280k-$300k,280000,3e+05,952605.602906181,952605.602906181,290146.696814125,276395369049.856,0.285862630532681,0.28594008548074
2032,$300k-$320k,3e+05,320000,653959.926175475,653959.926175475,309509.034633574,202406505439.614,0.284808600574405,0.284941667655768
2032,$320k-$340k,320000,340000,568506.383683532,568506.383683532,330050.746862775,187635956531.005,0.293442612209858,0.29342432877948
2032,$340k-$360k,340000,360000,439596.362080554,439596.362080554,348485.778031699,153193080259.546,0.288673876703083,0.288647474720448
2032,$360k-$380k,360000,380000,304368.714785714,304368.714785714,368876.973509169,112274610341.03,0.283902634575586,0.283806363545445
2032,$380k-$400k,380000,4e+05,287858.472570291,287858.472570291,389942.862111017,112248356676.965,0.276161729126182,0.276140372248068
2032,$400k-$420k,4e+05,420000,273968.463949378,273968.463949378,409408.263332572,112164953033.407,0.271303619080892,0.271322276487043
2032,$420k-$440k,420000,440000,200959.695153258,200959.695153258,429691.611134064,86350695183.4137,0.311145450032753,0.311368556519043
2032,$440k-$460k,440000,460000,193285.47300895,193285.47300895,449394.808547478,86861488137.8658,0.280565521188009,0.280556624693032
2032,$460k-$480k,460000,480000,161661.785024173,161661.785024173,469937.3565511,75970911909.592,0.291693480605169,0.291721780322713
2032,$480k-$500k,480000,5e+05,180216.303018171,180216.303018171,490187.424496299,88339765428.7217,0.310019476112032,0.310048119948782
2032,$500k-$550k,5e+05,550000,311204.590793753,311204.590793753,523180.767811728,162816256758.01,0.322796380996711,0.323000648912911
2032,$550k-$600k,550000,6e+05,252044.050046223,252044.050046223,573219.371627777,144476531990.016,0.333065680249755,0.333146027960176
2032,$600k-$650k,6e+05,650000,217158.140833741,217158.140833741,624086.00472551,135525356506.549,0.344904480704024,0.344988701550382
2032,$650k-$700k,650000,7e+05,169902.874897526,169902.874897526,674238.276216139,114555021495.074,0.350646067790503,0.350599913187562
2032,$700k-$750k,7e+05,750000,135126.480669914,135126.480669914,721280.6238362,97464112274.3859,0.353856566249922,0.353877162160636
2032,$750k-$800k,750000,8e+05,96904.3170916531,96904.3170916531,774808.875412347,75082324948.3853,0.360884848274496,0.360896837646826
2032,$800k-$850k,8e+05,850000,88116.3226948734,88116.3226948734,825440.53199924,72734784283.073,0.358616088776322,0.358602885476665
2032,$850k-$900k,850000,9e+05,87621.9309621185,87621.9309621185,876280.802061557,76781415941.6676,0.363825455390349,0.363829473444585
2032,$900k-$950k,9e+05,950000,82948.4775353694,82948.4775353694,923729.097878448,76621922324.1376,0.362330914306239,0.362319243599508
2032,$950k-$1000k,950000,1e+06,64705.705929831,64705.705929831,972539.971996862,62928885433.035,0.369479469294243,0.36948896001187
2032,$1M+,1e+06,Inf,480349.034426301,480349.034426301,2370523.18480437,1138678522905.94,0.366094706337634,0.366103752391793
2032,All workers,0,Inf,164652429.318778,164652429.318778,90533.3534052394,14906536572548.2,0.148290178662981,0.22848036989965
2033,$0k-$20k,0,20000,29024820.3623594,29024820.3623594,8858.49449349202,257116211354.556,0.0145159308059503,0.0252378455171264
2033,$20k-$40k,20000,40000,25435869.2140729,25435869.2140729,28479.2588116797,724394702447.619,0.106498880344116,0.111735536333872
2033,$40k-$60k,40000,60000,24392342.9000299,24392342.9000299,50951.2018021952,1242819185527.76,0.156637410710177,0.156902054491019
2033,$60k-$80k,60000,80000,23387692.0419146,23387692.0419146,69672.4336830871,1629477422790.76,0.150734068536595,0.151377140991091
2033,$80k-$100k,80000,1e+05,16442021.6841278,16442021.6841278,89183.4658606229,1466356479546.03,0.197754655795685,0.197496847597591
2033,$100k-$120k,1e+05,120000,10779273.7034358,10779273.7034358,109395.664543851,1179205810087.41,0.200353777920874,0.200472655184864
2033,$120k-$140k,120000,140000,8169728.66801857,8169728.66801857,129380.500925525,1057003587493.86,0.204660440703711,0.204824879574785
2033,$140k-$160k,140000,160000,5931864.38381411,5931864.38381411,149525.809989175,886966826735.741,0.21759712434791,0.217945807206669
2033,$160k-$180k,160000,180000,3980042.29096167,3980042.29096167,168858.971101131,672065846190.776,0.235772604199756,0.235837678915442
2033,$180k-$200k,180000,2e+05,2204198.43094792,2204198.43094792,190080.510944727,418975163978.146,0.247019168606288,0.247188227966184
