group_id,panel,group_label,married,age_65_plus,n_dependents,dependent_filer,n_obs,filing_rate_weighted,term,coefficient,std_error,sig,pdf_page,note
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,means_tested_transfers,-0.229,0.227,,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,n_medicaid,-0.082,0.086,,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,educ_less_than_hs,-0.266,0.210,,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,educ_college,-0.033,0.306,,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,race_black,-0.284,0.220,,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,race_hispanic,-0.776,0.342,**,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,race_other,-0.019,0.322,,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,intercept,-0.799,0.636,,51,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,log_gross_income,0.149,0.021,***,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,negative_gross_income,0.62,0.197,***,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,src_wages,0.405,0.074,***,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,src_interest,0.301,0.048,***,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,src_dividends,0.023,0.057,,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,src_self_employment,-0.108,0.060,*,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,src_rental,-0.084,0.076,,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,src_retirement,0.2,0.073,***,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,src_social_security,0.054,0.059,,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,means_tested_transfers,-0.509,0.088,***,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,n_medicaid,-0.105,0.042,**,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,educ_less_than_hs,-0.17,0.073,**,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,educ_college,-0.01,0.046,,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,race_black,-0.289,0.061,***,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,race_hispanic,-0.1,0.056,*,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,race_other,-0.072,0.062,,52,
married_u65_dep0,C,"Married, under 65, nondependent, no dependents",1,0,0,0,11081,0.92,intercept,-0.44,0.200,**,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,log_gross_income,0.101,0.030,***,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,negative_gross_income,0.061,0.302,,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,src_wages,0.321,0.114,***,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,src_interest,0.201,0.058,***,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,src_dividends,0.053,0.072,,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,src_self_employment,-0.238,0.073,***,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,src_rental,-0.097,0.103,,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,src_retirement,0.113,0.158,,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,src_social_security,-0.235,0.097,**,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,means_tested_transfers,-0.154,0.105,,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,n_medicaid,-0.05,0.033,,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,educ_less_than_hs,-0.33,0.082,***,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,educ_college,-0.017,0.057,,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,race_black,-0.21,0.083,**,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,race_hispanic,-0.417,0.058,***,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,race_other,-0.118,0.075,,52,
married_u65_dep1,C,"Married, under 65, nondependent, 1 dependent",1,0,1,0,7182,0.92,intercept,0.282,0.301,,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,log_gross_income,0.111,0.020,***,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,negative_gross_income,0.526,0.214,**,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,src_wages,0.467,0.074,***,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,src_interest,0.166,0.038,***,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,src_dividends,0.042,0.046,,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,src_self_employment,-0.07,0.048,,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,src_rental,-0.189,0.060,***,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,src_retirement,0.1,0.124,,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,src_social_security,0.01,0.089,,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,means_tested_transfers,-0.062,0.061,,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,n_medicaid,-0.02,0.012,*,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,educ_less_than_hs,-0.371,0.051,***,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,educ_college,0.027,0.039,,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,race_black,-0.119,0.061,**,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,race_hispanic,-0.518,0.038,***,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,race_other,-0.038,0.056,,52,
married_u65_dep2p,C,"Married, under 65, nondependent, 2+ dependents",1,0,2+,0,17041,0.92,intercept,0.005,0.210,,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,log_gross_income,0.14,0.017,***,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,negative_gross_income,0.72,0.148,***,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,src_wages,0.492,0.077,***,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,src_interest,0.158,0.062,**,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,src_dividends,0.452,0.074,***,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,src_self_employment,-0.006,0.121,,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,src_rental,0.21,0.100,**,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,src_retirement,-0.193,0.068,***,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,src_social_security,-0.008,0.090,,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,means_tested_transfers,-0.648,0.102,***,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,n_medicaid,-0.216,0.045,***,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,educ_less_than_hs,-0.605,0.064,***,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,educ_college,0.308,0.064,***,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,race_black,-0.204,0.080,**,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,race_hispanic,-0.21,0.079,***,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,race_other,-0.291,0.083,***,52,
married_65p_dep0,D,"Married, 65 or older, nondependent, no dependents",1,1,0,0,5237,0.83,intercept,-0.26,0.172,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,log_gross_income,0.089,0.076,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,negative_gross_income,-0.491,0.618,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,src_wages,0.499,0.321,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,src_interest,-0.327,0.241,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,src_dividends,0.842,0.364,**,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,src_self_employment,0.383,0.532,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,src_rental,-0.004,0.390,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,src_retirement,-0.276,0.312,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,src_social_security,0.391,0.268,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,means_tested_transfers,-0.027,0.276,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,n_medicaid,-0.292,0.105,***,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,educ_less_than_hs,-0.727,0.227,***,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,educ_college,-0.073,0.237,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,race_black,-0.294,0.237,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,race_hispanic,-0.361,0.253,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,race_other,-0.111,0.265,,52,
married_65p_dep1,D,"Married, 65 or older, nondependent, 1 dependent",1,1,1,0,362,0.77,intercept,0.485,0.671,,52,
married_65p_dep2p,D,"Married, 65 or older, nondependent, 2+ dependents",1,1,2+,0,194,0.80,log_gross_income,0.15,0.100,,52,
married_65p_dep2p,D,"Married, 65 or older, nondependent, 2+ dependents",1,1,2+,0,194,0.80,negative_gross_income,0.15,0.871,,52,
married_65p_dep2p,D,"Married, 65 or older, nondependent, 2+ dependents",1,1,2+,0,194,0.80,src_wages,0.489,0.353,,52,
married_65p_dep2p,D,"Married, 65 or older, nondependent, 2+ dependents",1,1,2+,0,194,0.80,src_interest,0.101,0.330,,52,
married_65p_dep2p,D,"Married, 65 or older, nondependent, 2+ dependents",1,1,2+,0,194,0.80,src_dividends,-0.13,0.393,,52,
married_65p_dep2p,D,"Married, 65 or older, nondependent, 2+ dependents",1,1,2+,0,194,0.80,src_self_employment,-0.495,0.403,,52,
married_65p_dep2p,D,"Married, 65 or older, nondependent, 2+ dependents",1,1,2+,0,194,0.80,src_rental,0.023,0.514,,52,
married_65p_dep2p,D,"Married, 65 or older, nondependent, 2+ dependents",1,1,2+,0,194,0.80,src_retirement,-0.67,0.348,*,52,
married_65p_dep2p,D,"Married, 65 or older, nondependent, 2+ dependents",1,1,2+,0,194,0.80,src_social_security,0.232,0.335,,52,
married_65p_dep2p,D,"Married, 65 or older, nondependent, 2+ dependents",1,1,2+,0,194,0.80,means_tested_transfers,-0.364,0.361,,52,
