model,state,year,n,match_15,match_100,share_both_zero,mean_abs_diff,median_abs_diff,p90_abs_diff,p99_abs_diff,mean_signed,n_clean,match_15_clean,match_100_clean
taxsim,IN,2020,20513,0.21547311461024715,0.5357090625457027,0.05167454784770633,1032.2162259523766,96.89845108396366,823.3589717002217,21403.87019760819,1021.7376720016084,13070,0.281637337413925,0.6582249426166794
policyengine,IN,2021,1536,0.15169270833333334,0.4850260416666667,0.04752604166666666,13481.724417151285,110.05444604635431,4704.049458449939,324844.1133544935,-2122.310962528842,270,0.362962962962963,0.8703703703703703
policyengine,IN,2022,1530,0.18104575163398692,0.48562091503267973,0.0457516339869281,11518.443866010584,110.57578300038028,5335.615173263524,170256.2633769301,1748.3896713838074,318,0.4433962264150943,0.8490566037735849
policyengine,IN,2023,1533,0.1715590345727332,0.5042400521852577,0.04500978473581213,19263.005398129146,100,5031.193589677987,317830.9956976045,9190.601650785602,356,0.40168539325842695,0.8764044943820225
policyengine,IN,2024,1531,0.17243631613324625,0.472893533638145,0.04702808621815806,16704.588119761484,106.75100013151678,5526.7985122255595,266996.1446488212,-1018.2361624538128,365,0.4136986301369863,0.8547945205479452
taxsim,KY,2017,20513,0.21786184370886755,0.26861014966119046,0.2098181640910642,5561.7033406447445,246.44732023341675,4585.03579285655,123282.14173039648,-4574.209721406311,13458,0.2193490860454748,0.2692822113241195
taxsim,KY,2018,20515,0.3439434560077992,0.41379478430416766,0.191225932244699,1630.3118027106525,126.50324991857316,1384.2070389468088,32000.04941371658,667.6718622232768,13504,0.404324644549763,0.46549170616113744
taxsim,KY,2019,20514,0.3377693282636248,0.40348054986838255,0.1913327483669689,1914.7360340914904,126.50410510408256,1428.998034920121,36385.26948782371,452.9683689158911,13433,0.40043177250055834,0.45514777041613935
taxsim,KY,2020,20513,0.33300833617705844,0.3908740798518013,0.18305464827182763,2189.467894591104,130.6123750066772,1424.9995323768624,38166.57745781343,458.9757924950089,13070,0.39533282325937263,0.44605967865340473
policyengine,KY,2021,1536,0.337890625,0.4342447916666667,0.1640625,23099.654789044584,192.14208174889745,8565.102155207098,522054.22719708073,-6698.392658105401,269,0.7472118959107806,0.8587360594795539
policyengine,KY,2022,1530,0.3352941176470588,0.426797385620915,0.1588235294117647,21195.952826370947,201.48879372331064,10884.984772045029,456971.3591590136,4030.584589842695,317,0.7192429022082019,0.8012618296529969
policyengine,KY,2023,1533,0.3111545988258317,0.3972602739726027,0.1441617742987606,34746.27031227679,230.03377726999497,9596.239384926655,720789.935651052,14596.638572722211,357,0.6554621848739496,0.7254901960784313
policyengine,KY,2024,1531,0.3076420640104507,0.3990855649902025,0.1378184193337688,25051.54644738336,228.3276276836059,11123.956082180928,523089.55063838465,173.03576061035952,364,0.6565934065934066,0.7445054945054945
taxsim,MI,2017,20513,0.3553843903865841,0.470530882854775,0.02291229951737922,2518.905393793018,140.81,2186.306921316417,49490.94231776098,2476.247406928663,13458,0.464482092435726,0.5743052459503641
taxsim,MI,2018,20515,0.34599073848403605,0.4617109432122837,0.0228125761637826,2584.605983239727,153.71362665405482,2220.6730255998004,50512.56187895916,2547.9945801576755,13504,0.45423578199052134,0.5656842417061612
taxsim,MI,2019,20514,0.3477625036560398,0.4583698937311105,0.02315491859218095,2589.8125210871776,163.91192242702488,2335.9467863803766,55205.5986773189,2555.404844560516,13433,0.4639321074964639,0.5659941934043028
taxsim,MI,2020,20513,0.3287671232876712,0.438843660117974,0.0240822892799688,2970.6993902296153,204.92,2386.4730556914014,58231.280000000166,2934.3104280252783,13070,0.4499617444529457,0.5571537872991584
policyengine,MI,2021,1536,0.2923177083333333,0.416015625,0.00846354166666666,17847.636899233665,220.30835145212848,6232.864465211454,427518.7833611757,-2735.63816419844,269,0.4981412639405205,0.5613382899628253
policyengine,MI,2022,1530,0.2908496732026144,0.3843137254901961,0.0130718954248366,15321.958909926683,343.26259044438564,7536.339803866616,223571.80207490796,2290.1481119752248,318,0.449685534591195,0.5062893081761006
policyengine,MI,2023,1533,0.2850619699934768,0.4024787997390737,0.01304631441617743,24914.361058991788,247.8026716902956,6756.783074839312,408393.4509826343,11851.942846011922,358,0.5223463687150838,0.6256983240223464
policyengine,MI,2024,1531,0.2906596995427825,0.3879817112998041,0.01306335728282168,23480.36663191989,302.12,8603.698080580856,370936.69155983266,-1353.1768932928323,365,0.547945205479452,0.6136986301369863
taxsim,NC,2017,20513,0.40993516306732314,0.4968069029395993,0.14741871008628674,12460.750514862666,100.0018091313318,3575.219243005053,296691.85430259554,-11357.119854794517,13458,0.4922722544211621,0.5861940853024223
taxsim,NC,2018,20515,0.1798683889836705,0.43368267121618326,0.15432610285157203,11749.841542055055,137.47095954765518,3651.9247781028544,249217.82325662457,-10612.183117634242,13504,0.19142476303317535,0.5003702606635071
taxsim,NC,2019,20514,0.45061908940235934,0.5522569952227747,0.16110948620454324,12010.117993614624,37.91021056191812,3612.1650599490367,260516.93331153647,-10903.561473069592,13433,0.5453733343259138,0.6521253629122311
taxsim,NC,2020,20513,0.44830107736557306,0.552137668795398,0.1618485838248915,11982.170520452888,41.357424320101586,3484.196070436445,294721.841052777,-10732.025457053747,13070,0.5394797245600612,0.6478959449120122
policyengine,NC,2021,1536,0.283203125,0.3626302083333333,0.138671875,24524.796579980444,282.19216211526793,11379.02441201982,564662.6468721877,-8185.292832668089,269,0.8178438661710037,0.8513011152416357
policyengine,NC,2022,1530,0.33137254901960783,0.3803921568627451,0.1607843137254902,22132.531416939302,318.1106149348884,12772.618367052844,505407.1428336126,1151.5120904415917,317,0.8454258675078864,0.8738170347003155
policyengine,NC,2023,1533,0.3065883887801696,0.36203522504892366,0.14546640574037834,35839.64660103245,302.931243234314,13818.481590378316,716298.1215707493,13980.12419826453,357,0.8067226890756303,0.8207282913165266
policyengine,NC,2024,1531,0.31025473546701504,0.35858915741345526,0.1365120836054866,28546.742147057128,309.3737022601141,14874.64412182523,565676.2286233502,-2767.963324693427,364,0.8296703296703297,0.8406593406593407
taxsim,ND,2017,20513,0.5083118022717301,0.6286744990981329,0.1918783210646907,1988.87199943652,12.394984448349078,2005.156119190762,42631.219929344785,1521.7200459756168,13458,0.5853767275969683,0.7213553276861346
taxsim,ND,2018,20515,0.5481355106019985,0.6845722641969291,0.18074579575920055,2036.616999899814,5.854648168963138,1280.1419974016217,40649.72573151379,-1421.3727737694085,13504,0.6153732227488151,0.7498518957345972
taxsim,ND,2019,20514,0.5584966364434045,0.6905527932143902,0.18348444964414545,2132.062745752497,4.722912252400178,1301.1741157912534,43261.675046849334,-1557.1338806528286,13433,0.6251768033946252,0.7524008039901735
taxsim,ND,2020,20513,0.5293228684249013,0.6632379466679666,0.17915468239652904,2371.880873848171,8.760421302071336,1407.1208041608893,48735.39670206517,-1680.4626902378047,13070,0.6081866870696251,0.7412394797245601
policyengine,ND,2021,1536,0.17903645833333334,0.2506510416666667,0.1640625,15546.606915466686,412.7453506590325,7446.443727079717,372786.01500000065,-7829.924007441651,269,0.42379182156133827,0.4795539033457249
policyengine,ND,2022,1530,0.17320261437908496,0.2457516339869281,0.1627450980392157,16066.068964432528,419.2095518656701,9465.948999024897,386011.4759012199,-3645.1579644011217,317,0.4069400630914827,0.4637223974763407
