state,age_band,income_tier,n_units,year
IN,65_74,10_25k,32047,2022
IN,65_74,25_50k,992,2022
IN,75p,neg_zero,4961,2022
IN,75p,1_10k,20796,2022
IN,75p,10_25k,24760,2022
IN,75p,25_50k,1265,2022
KS,18_25,neg_zero,41999,2022
KS,18_25,1_10k,69928,2022
KS,18_25,10_25k,25294,2022
KS,18_25,25_50k,360,2022
KS,26_34,neg_zero,14617,2022
KS,26_34,1_10k,20676,2022
KS,26_34,10_25k,9590,2022
KS,26_34,25_50k,51,2022
KS,35_44,neg_zero,8823,2022
KS,35_44,1_10k,11361,2022
KS,35_44,10_25k,10604,2022
KS,35_44,25_50k,86,2022
KS,45_54,neg_zero,8402,2022
KS,45_54,1_10k,10759,2022
KS,45_54,10_25k,8790,2022
KS,45_54,25_50k,126,2022
KS,55_64,neg_zero,8061,2022
KS,55_64,1_10k,15027,2022
KS,55_64,10_25k,11306,2022
KS,55_64,25_50k,1764,2022
KS,65_74,neg_zero,3387,2022
KS,65_74,1_10k,11883,2022
KS,65_74,10_25k,11908,2022
KS,65_74,25_50k,52,2022
KS,75p,neg_zero,2513,2022
KS,75p,1_10k,9340,2022
KS,75p,10_25k,10035,2022
KS,75p,25_50k,228,2022
KY,18_25,neg_zero,104577,2022
KY,18_25,1_10k,90118,2022
KY,18_25,10_25k,39295,2022
KY,18_25,25_50k,348,2022
KY,26_34,neg_zero,28192,2022
KY,26_34,1_10k,35340,2022
KY,26_34,10_25k,28445,2022
KY,26_34,25_50k,812,2022
KY,35_44,neg_zero,23848,2022
KY,35_44,1_10k,29323,2022
KY,35_44,10_25k,24328,2022
KY,35_44,25_50k,822,2022
KY,45_54,neg_zero,17560,2022
KY,45_54,1_10k,26710,2022
KY,45_54,10_25k,21573,2022
KY,45_54,25_50k,355,2022
KY,55_64,neg_zero,16575,2022
KY,55_64,1_10k,36249,2022
KY,55_64,10_25k,40813,2022
KY,55_64,25_50k,687,2022
KY,65_74,neg_zero,4692,2022
KY,65_74,1_10k,21934,2022
KY,65_74,10_25k,33757,2022
KY,65_74,25_50k,650,2022
KY,75p,neg_zero,6674,2022
KY,75p,1_10k,19441,2022
KY,75p,10_25k,25572,2022
KY,75p,25_50k,531,2022
LA,18_25,neg_zero,132897,2022
LA,18_25,1_10k,106536,2022
LA,18_25,10_25k,37880,2022
LA,18_25,25_50k,76,2022
LA,26_34,neg_zero,35204,2022
LA,26_34,1_10k,41788,2022
LA,26_34,10_25k,39199,2022
LA,26_34,25_50k,365,2022
LA,35_44,neg_zero,28373,2022
LA,35_44,1_10k,34622,2022
LA,35_44,10_25k,38611,2022
LA,35_44,25_50k,626,2022
LA,45_54,neg_zero,26767,2022
LA,45_54,1_10k,29854,2022
LA,45_54,10_25k,22801,2022
LA,45_54,25_50k,1291,2022
LA,55_64,neg_zero,19565,2022
LA,55_64,1_10k,43826,2022
LA,55_64,10_25k,38769,2022
LA,55_64,25_50k,2076,2022
LA,65_74,neg_zero,6485,2022
LA,65_74,1_10k,34809,2022
LA,65_74,10_25k,37023,2022
LA,65_74,25_50k,1113,2022
LA,75p,neg_zero,5137,2022
LA,75p,1_10k,22754,2022
LA,75p,10_25k,27594,2022
LA,75p,25_50k,491,2022
MA,18_25,neg_zero,106693,2022
MA,18_25,1_10k,133037,2022
MA,18_25,10_25k,43275,2022
MA,26_34,neg_zero,32852,2022
MA,26_34,1_10k,44833,2022
MA,26_34,10_25k,29018,2022
MA,26_34,25_50k,766,2022
MA,35_44,neg_zero,26843,2022
MA,35_44,1_10k,31855,2022
MA,35_44,10_25k,20697,2022
MA,35_44,25_50k,748,2022
MA,45_54,neg_zero,20584,2022
MA,45_54,1_10k,26761,2022
MA,45_54,10_25k,23454,2022
MA,45_54,25_50k,806,2022
MA,55_64,neg_zero,24745,2022
MA,55_64,1_10k,43225,2022
MA,55_64,10_25k,34058,2022
MA,55_64,25_50k,420,2022
MA,65_74,neg_zero,16202,2022
MA,65_74,1_10k,30899,2022
MA,65_74,10_25k,32913,2022
MA,65_74,25_50k,1065,2022
MA,75p,neg_zero,13862,2022
MA,75p,1_10k,36075,2022
MA,75p,10_25k,34058,2022
MA,75p,25_50k,938,2022
MD,18_25,neg_zero,117982,2022
MD,18_25,1_10k,105050,2022
MD,18_25,10_25k,31942,2022
MD,26_34,neg_zero,39324,2022
MD,26_34,1_10k,38885,2022
MD,26_34,10_25k,21432,2022
MD,26_34,25_50k,598,2022
MD,35_44,neg_zero,24769,2022
MD,35_44,1_10k,27810,2022
MD,35_44,10_25k,23320,2022
MD,35_44,25_50k,825,2022
MD,45_54,neg_zero,22829,2022
MD,45_54,1_10k,20303,2022
MD,45_54,10_25k,19262,2022
MD,45_54,25_50k,304,2022
MD,55_64,neg_zero,24667,2022
MD,55_64,1_10k,39021,2022
MD,55_64,10_25k,27441,2022
MD,55_64,25_50k,932,2022
MD,65_74,neg_zero,12285,2022
MD,65_74,1_10k,34065,2022
MD,65_74,10_25k,24387,2022
MD,65_74,25_50k,728,2022
MD,75p,neg_zero,12141,2022
MD,75p,1_10k,29645,2022
MD,75p,10_25k,20249,2022
MD,75p,25_50k,826,2022
ME,18_25,neg_zero,13026,2022
