state,age_band,income_tier,n_units,n_adults,year
ME,55_64,neg_zero,3292,3800,2018
ME,55_64,1_10k,16146,17231,2018
ME,55_64,10_25k,6774,9288,2018
ME,65_74,neg_zero,1188,1405,2018
ME,65_74,1_10k,6327,7254,2018
ME,65_74,10_25k,6528,10506,2018
ME,75p,neg_zero,829,877,2018
ME,75p,1_10k,8697,9264,2018
ME,75p,10_25k,5465,7907,2018
MI,18_25,neg_zero,168054,168189,2018
MI,18_25,1_10k,280326,281821,2018
MI,18_25,10_25k,61977,64088,2018
MI,26_34,neg_zero,49339,50090,2018
MI,26_34,1_10k,110185,113825,2018
MI,26_34,10_25k,52985,63871,2018
MI,35_44,neg_zero,41232,43827,2018
MI,35_44,1_10k,60917,63710,2018
MI,35_44,10_25k,40834,54800,2018
MI,45_54,neg_zero,46195,48166,2018
MI,45_54,1_10k,73992,79539,2018
MI,45_54,10_25k,38593,53437,2018
MI,55_64,neg_zero,30986,33551,2018
MI,55_64,1_10k,98413,103848,2018
MI,55_64,10_25k,44920,65113,2018
MI,65_74,neg_zero,10379,12142,2018
MI,65_74,1_10k,58054,63342,2018
MI,65_74,10_25k,37308,57834,2018
MI,75p,neg_zero,9355,11660,2018
MI,75p,1_10k,45861,48395,2018
MI,75p,10_25k,27781,41528,2018
MN,18_25,neg_zero,66222,66222,2018
MN,18_25,1_10k,123483,123568,2018
MN,18_25,10_25k,29088,31077,2018
MN,26_34,neg_zero,17080,17575,2018
MN,26_34,1_10k,35748,36497,2018
MN,26_34,10_25k,21916,25465,2018
MN,35_44,neg_zero,12295,12630,2018
MN,35_44,1_10k,25070,26162,2018
MN,35_44,10_25k,13497,15988,2018
MN,45_54,neg_zero,9843,10098,2018
MN,45_54,1_10k,18363,18976,2018
MN,45_54,10_25k,14899,20531,2018
MN,55_64,neg_zero,14102,14805,2018
MN,55_64,1_10k,33226,36368,2018
MN,55_64,10_25k,15975,23915,2018
MN,65_74,neg_zero,5712,7309,2018
MN,65_74,1_10k,19989,22153,2018
MN,65_74,10_25k,16893,25921,2018
MN,75p,neg_zero,6042,6527,2018
MN,75p,1_10k,19114,20315,2018
MN,75p,10_25k,16922,26183,2018
MO,18_25,neg_zero,102647,103060,2018
MO,18_25,1_10k,154243,155197,2018
MO,18_25,10_25k,35104,37922,2018
MO,26_34,neg_zero,25183,25578,2018
MO,26_34,1_10k,61330,64895,2018
MO,26_34,10_25k,30057,37134,2018
MO,35_44,neg_zero,21217,22223,2018
MO,35_44,1_10k,38227,42645,2018
MO,35_44,10_25k,21245,28150,2018
MO,45_54,neg_zero,15956,16560,2018
MO,45_54,1_10k,40721,42828,2018
MO,45_54,10_25k,20970,29615,2018
MO,55_64,neg_zero,17196,18374,2018
MO,55_64,1_10k,48230,51897,2018
MO,55_64,10_25k,26399,39993,2018
MO,65_74,neg_zero,5136,6159,2018
MO,65_74,1_10k,30109,33114,2018
MO,65_74,10_25k,24092,38816,2018
MO,75p,neg_zero,5402,5935,2018
MO,75p,1_10k,26606,29363,2018
MO,75p,10_25k,19141,28953,2018
MS,18_25,neg_zero,107966,107966,2018
MS,18_25,1_10k,80809,81204,2018
MS,18_25,10_25k,19014,20251,2018
MS,26_34,neg_zero,26050,27002,2018
MS,26_34,1_10k,34441,35581,2018
MS,26_34,10_25k,19307,23572,2018
MS,35_44,neg_zero,21435,22387,2018
MS,35_44,1_10k,33972,36147,2018
MS,35_44,10_25k,17699,21607,2018
MS,45_54,neg_zero,18046,18548,2018
MS,45_54,1_10k,28666,30563,2018
MS,45_54,10_25k,13854,18880,2018
MS,55_64,neg_zero,14292,15035,2018
MS,55_64,1_10k,42025,43473,2018
MS,55_64,10_25k,15698,24152,2018
MS,65_74,neg_zero,2532,3244,2018
MS,65_74,1_10k,21905,23897,2018
MS,65_74,10_25k,16550,25514,2018
MS,75p,neg_zero,2368,2526,2018
MS,75p,1_10k,19491,19968,2018
MS,75p,10_25k,13458,18927,2018
MT,18_25,neg_zero,17903,17903,2018
MT,18_25,1_10k,24949,25090,2018
MT,18_25,10_25k,5726,6418,2018
MT,26_34,neg_zero,2764,2882,2018
MT,26_34,1_10k,6765,6856,2018
MT,26_34,10_25k,4497,5655,2018
MT,35_44,neg_zero,3888,4063,2018
MT,35_44,1_10k,6601,7091,2018
MT,35_44,10_25k,5026,6715,2018
MT,45_54,neg_zero,1756,1864,2018
MT,45_54,1_10k,3601,3643,2018
MT,45_54,10_25k,4779,5673,2018
MT,55_64,neg_zero,1171,1235,2018
MT,55_64,1_10k,6782,7421,2018
MT,55_64,10_25k,5683,7808,2018
MT,65_74,neg_zero,947,993,2018
MT,65_74,1_10k,8697,9513,2018
MT,65_74,10_25k,4899,7515,2018
