scenario,year,conv_iit,convnw_iit,conv_pr,convnw_pr,conv_wealth,convnw_wealth,conv_estate,convnw_estate,dY_exog
s_cg_r30,2051,7815.09343663241,7825.0950272714,4359.8288235501,4359.87554351033,0,0,109.336732427171,111.086825004744,0
s_cg_r30,2052,8174.3974427003,8185.03416549796,4518.19505308094,4518.24471109369,0,0,113.133873138915,115.034446661057,0
s_cg_r30,2053,8522.32416555215,8533.64728853964,4679.81799338222,4679.87077920908,0,0,117.051949514555,119.174570501137,0
s_cg_r30,2054,8894.44123371934,8906.48323322798,4846.10173020448,4846.15741401972,0,0,120.971088051157,123.267717095921,0
s_cg_r30,2055,9281.6117246937,9294.43107042787,5018.54799293887,5018.60732159093,0,0,123.915988635658,126.384435605798,0
s_cg_r30,2056,9680.04606268403,9693.58530536163,5196.1236384812,5196.18583621522,0,0,126.38841808104,129.068222811757,0
s_cg_r30,2057,10087.2159823086,10101.5316458579,5381.01302707838,5381.07916676533,0,0,130.971915101511,133.954535006988,0
pc_corpr35_cgr30,2027,2620.85423118923,2621.27722183067,1766.37789531155,1766.38187295545,0,0,36.6273421560964,36.6459929971525,-26.4461695041593
pc_corpr35_cgr30,2028,2697.4218776353,2698.2120300473,1837.476142067,1837.48307253272,0,0,38.6828377679361,38.7275596503523,-27.4505504929042
pc_corpr35_cgr30,2029,2864.20471266395,2865.38035279927,1914.26888903225,1914.27925446817,0,0,40.3145308954081,40.3870280279983,-28.6838153385309
pc_corpr35_cgr30,2030,3035.41163507084,3036.99015359665,1990.59480823109,1990.60925833122,0,0,42.5074518702879,42.6140436413603,-31.2512179915286
pc_corpr35_cgr30,2031,3177.06848788385,3179.08357690243,2069.97883680344,2069.99790676049,0,0,44.8365153523648,44.9818272576314,-33.1937369242
pc_corpr35_cgr30,2032,3328.26837095035,3330.7354768707,2149.94070993445,2149.96381782737,0,0,47.1108967031746,47.2992154471302,-35.1179962367328
pc_corpr35_cgr30,2033,3482.84002131448,3485.81174700931,2231.67340119528,2231.70085596041,0,0,49.5082845077116,49.7393059187772,-36.958582849659
pc_corpr35_cgr30,2034,3647.97329260966,3651.47881731009,2316.07379883782,2316.1058201953,0,0,52.0801516125384,52.3672839542894,-38.4648508249279
pc_corpr35_cgr30,2035,3822.40017558511,3826.47780742109,2404.51518674433,2404.55144875617,0,0,54.8388796558562,55.1974284557483,-39.8369476203155
pc_corpr35_cgr30,2036,4011.0335692218,4015.70954916907,2496.53331744982,2496.57493463548,0,0,57.9095588892261,58.3245941029603,-41.9740345501672
pc_corpr35_cgr30,2037,4195.75227297134,4201.03345029079,2594.10392970577,2594.1502814016,0,0,60.5450398362633,60.9782933396473,-43.7452711431201
pc_corpr35_cgr30,2038,4398.98637762649,4404.92160519976,2694.6568913267,2694.70790333762,0,0,63.3926968570001,63.9187734352363,-45.5115039964901
pc_corpr35_cgr30,2039,4604.97060524148,4611.61902772284,2799.88570001956,2799.94270870146,0,0,66.0336652571397,66.4437689002632,-47.3461238721552
pc_corpr35_cgr30,2040,4821.50886555474,4828.88639716628,2909.44515771389,2909.50848063701,0,0,68.8397295515918,69.6372837551992,-49.2740870919973
pc_corpr35_cgr30,2041,5043.93955050524,5052.11379488475,3023.15636177524,3023.22529486187,0,0,71.9914256969543,72.8418087886979,-51.2373611712348
pc_corpr35_cgr30,2042,5287.36559767248,5296.33173787454,3141.29113714819,3141.36565028453,0,0,75.2862034458761,76.283552149079,-53.2926037114285
pc_corpr35_cgr30,2043,5535.27892946046,5545.10340542449,3262.8800384444,3262.96083540732,0,0,78.6989867058484,79.7051623341892,-55.425370128573
pc_corpr35_cgr30,2044,5791.58823619686,5802.32850044308,3387.93049659575,3388.01864588943,0,0,81.7680191060269,83.0555215707495,-57.6816331234221
pc_corpr35_cgr30,2045,6056.0843216351,6067.72510975872,3515.66902306269,3515.76340255928,0,0,84.6051317446656,85.8134669196428,-60.0158862851884
pc_corpr35_cgr30,2046,6325.36358418035,6337.97662323426,3646.18213081662,3646.28446123076,0,0,87.5722473335008,89.1100370467557,-62.3663509457857
pc_corpr35_cgr30,2047,6608.47423141569,6622.12019055126,3778.94987580197,3779.05935750116,0,0,91.0805198085234,92.968710074931,-64.8141613978805
pc_corpr35_cgr30,2048,6905.36494643086,6920.04801551775,3917.37771791911,3917.49401906019,0,0,94.5223681466138,96.5906867718384,-67.3029167901885
pc_corpr35_cgr30,2049,7205.76122397372,7221.58597558553,4059.58632465569,4059.7110636971,0,0,98.2447919189505,100.57934455958,-69.854630361267
pc_corpr35_cgr30,2050,7521.67179294142,7538.63716436444,4208.15927543181,4208.29205190075,0,0,101.944586404087,104.137372941055,-72.4808494680932
pc_corpr35_cgr30,2051,7856.25974839782,7874.47373630914,4360.79016702381,4360.93149471026,0,0,105.234810203393,108.036212763268,-75.2158213275805
pc_corpr35_cgr30,2052,8217.25479944672,8236.71655735728,4519.18004482411,4519.32985335833,0,0,109.131563152768,112.293642529861,-78.0326633120035
pc_corpr35_cgr30,2053,8566.94071377731,8587.71058583466,4680.82589497876,4680.98518715134,0,0,112.450092667239,115.949227083367,-80.9528710044457
pc_corpr35_cgr30,2054,8940.77172692259,8962.91992845952,4847.1155696332,4847.28398986766,0,0,116.297010181404,120.031514646246,-83.9989373252497
pc_corpr35_cgr30,2055,9329.58447013992,9353.22501657039,5019.60665539288,5019.78593346482,0,0,120.342929995436,124.489775566183,-87.208570571437
pc_corpr35_cgr30,2056,9730.05579965391,9755.14374188545,5197.20680787415,5197.39577539686,0,0,123.799200837164,125.840121367336,-90.475300139413
pc_corpr35_cgr30,2057,10139.2209810724,10165.8498672431,5382.12435025126,5382.32538921739,0,0,125.523811599391,130.391012276662,-93.8368380048861
